word1,word2,score
muerte,tragedia,4.46
ausencia,presencia,0.08
chico,niño,5.0
iglesia,coro,1.46
torre,campana,1.0
padre,padre,10.0
colegio,grado,2.15
silla,banco,4.77
nube,niebla,5.54
chico,hijo,5.23
cama,manta,2.0
abogado,abogado,10.0
negocio,empresa,8.15
ropa,tela,3.54
dinero,capital,5.62
mano,pie,0.69
lente,cámara,2.77
comida,cena,6.69
dios,diablo,0.23
motor,motor,10.0
tamaño,magnitud,6.0
realidad,fantasía,0.23
casa,llave,0.31
sangre,carne,0.85
dios,espíritu,2.77
capacidad,competencia,6.0
fuerza,poder,3.69
frase,palabra,0.69
estómago,cintura,1.38
nube,tormenta,1.15
alegría,orgullo,3.46
lluvia,niebla,2.85
manzana,jugo,0.38
inteligencia,lógica,3.62
muchedumbre,multitud,4.23
orilla,costa,6.38
cama,cuna,3.15
competencia,capacidad,6.0
cena,comida,6.69
agua,sal,0.23
delito,robo,5.62
estilo,moda,5.54
brazo,cuerpo,1.54
barco,coche,1.31
novia,princesa,1.69
coche,calibre,1.08
cuna,cuna,10.0
animal,persona,0.92
cama,hospital,1.85
colegio,ley,1.62
pie,cabeza,1.08
madre,tutor,4.08
boca,diente,2.15
carne,tocino,3.38
cuerpo,pecho,1.69
hijo,padre,1.31
corazón,cirugía,1.15
mujer,secretario,1.23
hombre,padre,3.77
playa,isla,2.0
historia,tema,1.62
pareja,par,6.85
mujer,esposa,2.85
techo,catedral,1.69
madera,papel,1.15
delito,fraude,4.69
dolor,daño,3.92
amante,compañero,3.62
noche,oscuridad,4.77
padre,hija,1.15
vino,licor,5.85
vaca,cabra,1.23
creencia,opinión,5.31
pacto,acuerdo,7.62
riqueza,pobreza,1.08
batalla,conquista,2.92
amigo,profesor,1.69
hermano,hijo,3.0
trabajador,mecánico,2.85
agosto,mes,3.77
nube,clima,3.15
médico,doctor,7.08
sol,cielo,2.31
día,amanecer,2.31
doctor,profesor,3.77
brazo,vena,2.31
manzana,caramelo,0.92
ayudante,criada,2.92
cama,mueble,2.31
máquina,motor,2.62
playa,mar,3.54
fuerza,capacidad,3.77
opinión,idea,6.15
norte,oeste,0.31
dieta,ensalada,0.92
madre,esposa,2.23
motor,barco,0.77
pecador,santo,0.46
hombre,niño,1.15
pan,queso,0.69
celebracion,ceremonia,6.46
rey,princesa,1.46
resistencia,fuerza,5.23
peligro,amenaza,7.15
dios,sacerdote,0.62
hombres,fraternidad,2.38
compañero,compañero,10.0
profesor,ayudante,4.0
cuerpo,estómago,1.46
lengua,garganta,1.31
inteligencia,habilidad,3.92
viaje,conquista,2.08
hermano,alma,0.38
muerte,catástrofe,3.0
monstruo,demonio,5.62
día,mañana,2.15
hombre,vencedor,0.69
amigo,chico,2.62
rayo,sol,2.46
ensalada,vinagre,1.23
nube,niebla,5.54
conductor,piloto,6.46
cuerpo,hombro,2.38
idea,imagen,3.46
padre,hermano,1.38
vía,cerca,4.54
hueso,rodilla,3.15
brazo,rodilla,1.15
fondo,lado,0.69
vaso,vena,3.08
creencia,concepto,5.31
actitud,confianza,4.31
derecho,justicia,5.46
argumento,acuerdo,0.31
profundidad,magnitud,6.38
medio,noticias,2.77
salida,entrada,5.92
suelo,cubierta,6.46
techo,suelo,1.62
puerta,piso,0.31
hombro,cabeza,0.92
riqueza,fama,3.77
tristeza,vergüenza,4.77
libro,tema,1.62
chico,compañero,2.54
cielo,universo,2.92
población,gente,6.31
universidad,clase,4.77
metro,pulgada,2.62
chica,niño,4.77
cuerpo,espina,2.38
tronco,madera,4.85
cuchara,vaso,1.15
cuerpo,nervio,1.92
hombre,marido,3.54
hueso,cuello,2.15
tarea,trabajo,7.0
príncipe,rey,3.85
nieve,clima,4.38
gente,fiesta,2.31
chico,hermano,3.62
dinero,diamante,2.31
dedo,palma,1.46
coche,puente,1.31
esfuerzo,dificultad,3.54
palabra,periódico,3.23
compositor,escritor,3.0
refugio,choza,4.85
baño,cocina,2.23
cabaña,choza,2.77
puerta,cocina,1.23
valor,creencia,4.0
sabiduría,inteligencia,6.92
ignorancia,inteligencia,1.08
felicidad,suerte,3.23
felicidad,paz,3.92
lógica,aritmética,2.46
argumento,crítica,4.31
química,teoría,2.92
comodidad,seguridad,4.77
confianza,mismo,3.77
código,símbolo,3.46
peligro,enfermedad,3.08
accidente,catástrofe,6.31
viaje,viaje,10.0
actividad,movimiento,5.15
padre,dios,1.31
fiebre,enfermedad,5.08
juego,acción,2.77
palabra,literatura,3.77
autor,lector,1.69
chico,compañero,2.54
palabra,página,1.62
político,presidente,5.92
presidente,alcalde,3.85
libro,ensayo,2.69
hombre,guerrero,3.15
artículo,diario,4.85
libro,artículo,3.31
hija,niño,5.0
miembro,pierna,4.54
ropa,abrigo,4.92
manzana,salsa,2.0
estudiante,profesor,2.0
pipa,cigarro,3.62
leche,jugo,1.85
caja,cigarro,1.38
caballo,buey,1.08
garganta,nariz,1.85
hueso,dientes,3.38
hueso,codo,2.15
prueba,hecho,4.85
arzobispo,obispo,5.15
carta,párrafo,2.08
página,párrafo,1.85
chico,soldado,1.0
chico,chica,1.69
cama,silla,1.46
carne,pan,1.23
brazo,hueso,2.38
agonía,duelo,4.92
noche,amanecer,1.0
cena,sopa,1.69
nieve,tormenta,2.0
uña,mano,2.92
perro,caballo,1.0
brazo,cuello,1.23
nervio,cerebro,2.85
bestia,animal,5.31
chica,criada,2.46
niño,chico,5.0
nariz,boca,2.08
calle,coche,1.62
timbre,puerta,1.62
caja,sombrero,1.08
parcialidad,opinión,3.85
ira,humor,3.69
elegancia,estilo,4.23
belleza,edad,2.54
libro,tema,1.62
amigo,madre,1.92
coche,fábrica,1.85
creencia,flor,1.15
resistencia,banda,1.23
flor,resistencia,1.08
doctor,templar,1.38
fraternidad,puerta,1.46
tarea,mujer,1.08
presencia,puerta,1.62
tarea,paja,0.85
isla,tarea,0.85
noche,capítulo,1.23
dieta,manzana,1.15
capítulo,cola,1.38
curso,estómago,1.0
fórmula,tronco,0.85
mujer,piel,0.08
manzana,sol,0.0
comida,cintura,0.62
cámara,presidente,0.23
licor,banda,0.0
estómago,vena,0.77
trabajador,cámara,0.23
princesa,isla,0.0
gente,globo,0.0
tomar,robar,5.0
escuchar,oír,8.31
ocurrir,suceder,9.0
desaparecer,desaparecer,10.0
multiplicar,dividir,1.85
proteger,defender,9.0
matar,destruir,7.38
crear,hacer,8.38
aceptar,rechazar,0.0
ignorar,evitar,7.92
llevar,traer,4.77
salir,entrar,0.62
escoger,elegir,8.15
perder,fallar,7.85
lograr,conseguir,8.38
hacer,construir,8.0
escuchar,obedecer,4.62
recibir,dar,1.54
pedir,mendigar,2.92
tomar,obtener,4.0
aconsejar,recomendar,5.15
imitar,retratar,3.31
pensar,decidir,2.77
saludar,encontrar,5.46
disfrutar,entretener,4.85
destruir,hacer,0.92
salvar,proteger,6.38
dar,prestar,3.08
entender,saber,5.69
tomar,recibir,3.54
aceptar,reconocer,4.08
decidir,escoger,4.0
aceptar,creer,4.23
guardar,poseer,4.08
gastar,salvar,1.23
venir,asistir,4.54
saber,creer,4.38
reunir,encontrar,4.38
hacer,ganar,3.92
olvidar,ignorar,4.31
multiplicar,añadir,2.54
llegar,salir,1.23
aceptar,negar,1.08
llegar,venir,4.31
acordar,diferir,1.08
enviar,recibir,0.85
ganar,dominar,5.31
añadir,dividir,1.69
matar,ahogar,3.15
adquirir,obtener,9.46
participar,unir,5.92
salir,permanecer,1.77
tomar,llevar,2.92
olvidar,aprender,1.0
citar,elegir,4.0
pedir,rezar,2.69
tomar,entregar,2.38
hablar,oír,0.38
perder,guardar,0.23
comparar,analizar,5.46
tomar,poseer,4.85
aprender,escuchar,2.31
destruir,construir,0.0
crear,construir,6.54
robar,comprar,0.0
matar,colgar,2.38
olvidar,saber,0.0
crear,imaginar,4.85
hacer,suceder,2.31
ganar,conseguir,6.23
dar,negar,0.08
merecer,ganar,4.54
obtener,poner,0.54
aparecer,asistir,3.46
saber,comprender,6.92
fingir,imaginar,6.69
satisfacer,agradecer,6.08
superar,dominar,4.46
lograr,intentar,1.85
empezar,dejar,0.0
decir,participar,1.62
venir,traer,1.62
declarar,anunciar,8.15
leer,comprender,5.0
tomar,salir,0.0
adquirir,obtener,9.46
concluir,decidir,6.15
agradecer,alegar,1.08
pedir,alegar,6.08
encontrar,desaparecer,0.08
verificar,justificar,3.08
hacer,convertir,2.46
dar,poner,3.77
entender,escuchar,4.38
pedir,vender,0.38
guardar,proteger,3.31
explicar,probar,4.46
acordar,agradecer,1.15
perdonar,olvidar,3.69
aclarar,explicar,7.69
entender,perdonar,2.23
recordar,olvidar,0.62
obtener,permanecer,2.0
exigir,preguntar,1.69
ignorar,pedir,1.54
pensar,preguntar,2.08
rechazar,evitar,5.92
perseguir,persuadir,2.31
aceptar,perdonar,3.31
hacer,dejar,0.62
investigar,examinar,6.77
deber,prestar,1.0
retirar,rechazar,5.23
guardar,pedir,0.77
mendigar,pedir,2.92
hablar,reconocer,2.62
dar,pedir,1.62
matar,defender,0.69
entregar,llevar,1.46
respirar,ahogar,0.77
convertir,parecer,3.31
fingir,parecer,3.77
conseguir,convertir,4.77
contemplar,pensar,4.85
agradecer,entretener,1.92
permanecer,conservar,4.77
fingir,retratar,2.15
olvidar,conservar,1.08
desear,escoger,3.62
perder,obtener,0.92
intentar,pensar,2.23
convertir,aparecer,3.46
salir,ignorar,4.46
aceptar,recomendar,2.15
guardar,dar,1.38
dar,permitir,3.54
traer,enviar,1.08
adquirir,encontrar,5.08
salir,aparecer,0.77
crear,destruir,0.62
obtener,comprar,4.85
recoger,salvar,4.38
unir,añadir,6.38
unir,casar,5.69
aceptar,entregar,1.0
poner,colgar,2.92
comunicar,rezar,2.38
dar,robar,1.31
añadir,construir,2.85
comprender,satisfacer,2.31
retratar,decidir,1.92
dar,saber,0.77
decir,verificar,2.69
pedir,querer,2.0
investigar,perseguir,5.31
entrar,deber,1.0
recordar,vender,0.69
unir,adquirir,2.15
enviar,asistir,2.08
reunir,asistir,2.85
asistir,llegar,5.31
