word1,word2,score
barca,ponte,2.23
amico,ospite,3.85
principale,impiegato,3.46
mano,polso,2.77
palla,cannone,3.62
vittoria,trionfo,7.62
porta,entrata,5.54
unghia,pollice,2.62
banda,orchestra,5.62
libro,bibbia,5.15
impresa,industria,5.69
inverno,stagione,4.0
decennio,secolo,2.69
cappello,cappotto,2.23
finestra,porta,1.54
braccio,polso,2.46
casa,appartamento,5.46
vetro,cristallo,4.77
creatore,artefice,9.62
cena,colazione,3.23
braccio,muscolo,2.08
pane,farina,1.62
morte,tragedia,4.46
assenza,presenza,0.08
pistola,cannone,4.0
erba,filo,1.62
palla,canestro,1.46
canna,giardino,0.77
chiesa,coro,1.46
torre,campana,1.0
padre,genitore,6.38
scuola,classe,2.15
dizionario,definizione,2.69
porta,cantina,0.62
nuvola,nebbia,4.85
ragazzo,figlio,5.23
acqua,ghiaccio,3.85
letto,coperta,2.0
avvocato,legale,9.46
area,zona,9.15
vestiti,tessuto,3.54
soldi,capitale,5.62
mano,piede,0.69
pasto,cena,6.69
occhio,lacrima,1.31
dio,diavolo,0.23
ratto,topo,4.69
motore,macchina,8.54
gatto,leone,3.15
realtà,fantasia,0.23
porta,cancello,7.23
gatto,animale,2.69
casa,chiave,0.31
sangue,carne,0.85
dio,spirito,2.77
capacità,competenza,4.77
tromba,tamburo,0.46
organo,fegato,2.54
forza,potenza,3.69
frase,parola,0.69
banda,parata,0.54
stomaco,vita,1.38
nuvola,tempesta,1.15
gioia,orgoglio,3.46
birra,bevanda,4.38
uomo,zio,2.08
intelligenza,logica,3.62
comunicazione,lingua,5.62
calca,folla,4.23
riva,costa,6.38
filo,corda,4.62
letto,culla,3.15
competenza,abilità,6.0
cena,pasto,6.69
acqua,sale,0.23
situazione,condizione,5.54
stile,moda,5.54
braccio,corpo,1.54
sposa,principessa,1.69
eroina,eroe,6.85
insetto,ape,3.46
animale,persona,0.92
letto,ospedale,1.85
guancia,lingua,1.62
curva,angolo,2.38
erba,muschio,2.54
scuola,legge,1.62
piede,testa,1.08
madre,custode,4.08
bocca,dente,2.15
bagno,camera,1.46
lavoratore,principale,1.08
figlio,padre,1.31
cuore,chirurgia,1.15
uomo,padre,3.77
spiaggia,isola,2.0
storia,argomento,1.62
gioco,divertimento,2.23
coppia,paio,6.85
donna,moglie,2.85
pecora,bestiame,1.38
borsellino,borsa,4.46
soffitto,cattedrale,1.69
foresta,carta,1.15
dolore,male,3.92
amante,compagno,3.62
padre,figlia,1.15
vino,liquore,5.85
credo,opinione,5.31
realtà,illusione,1.08
patto,accordo,7.62
ricchezza,povertà,1.08
battaglia,conquista,2.92
malattia,infezione,4.46
gioco,scherzo,1.69
fratello,figlio,3.0
zia,nipote,1.54
ape,regina,1.92
agosto,mese,3.77
nuvola,tempo,3.15
medico,dottore,7.08
fiume,valle,2.46
sole,cielo,2.31
bersaglio,freccia,1.85
circostanza,situazione,4.54
opinione,scelta,3.85
ritmo,melodia,4.92
fegato,coraggio,1.69
giorno,alba,2.31
bestiame,manzo,3.38
dottore,professore,3.77
braccio,vena,2.31
stanza,bagno,1.77
divertimento,calcio,2.54
ape,formica,1.54
letto,mobilia,2.31
emozione,passione,5.62
macchina,motore,8.54
spiaggia,mare,3.54
forza,capacità,3.77
chitarra,tamburo,1.0
opinione,idea,6.15
dieta,insalata,0.92
madre,moglie,2.23
motore,barca,0.77
peccatore,santo,0.46
distruzione,costruzione,0.31
folla,gruppo,5.23
uomo,bambino,1.15
pane,formaggio,0.69
campione,vincitore,7.15
resistenza,forza,5.23
pericolo,minaccia,7.15
dio,prete,0.62
uomini,confraternita,2.38
corpo,stomaco,1.46
lingua,gola,1.31
casa,tappeto,0.54
intelligenza,talento,3.92
viaggio,conquista,2.08
dio,preda,0.69
fratello,anima,0.38
morte,catastrofe,3.0
giorno,mattino,2.15
uomo,vincitore,0.69
amico,tipo,2.62
canzone,storia,0.92
raggio,sole,2.46
tipo,fusto,4.23
pollo,riso,0.62
appartamento,mobilia,1.46
lago,palude,4.31
insalata,aceto,1.23
zucchero,miele,4.92
corpo,spalla,2.38
idea,immagine,3.46
padre,fratello,1.38
luna,pianeta,3.0
ballo,costume,1.85
stanza,letto,2.15
fiore,cespuglio,3.77
osso,ginocchio,3.15
braccio,ginocchio,1.15
fondo,lato,0.69
vaso,vena,3.08
credo,concetto,5.31
attenzione,interesse,6.46
attitudine,sicurezza,4.31
diritto,giustizia,5.46
discussione,accordo,0.31
mezzo,notizie,2.77
vincitore,candidato,2.0
retta,pagamento,6.38
bibbia,inno,2.77
uscita,entrata,5.92
uomo,sentinella,2.46
sangue,midollo,1.23
pavimento,ponte,6.46
tetto,pavimento,0.31
porta,pavimento,0.31
spalla,testa,0.92
ricchezza,fama,3.77
dolore,vergogna,4.77
comunicazione,conversazione,5.85
università,professione,2.46
libro,argomento,2.0
formula,equazione,6.92
libro,informazione,2.31
cielo,universo,2.92
università,classe,4.77
rabbino,ministro,3.77
metro,pollice,2.62
avvocato,banchiere,1.0
violino,strumento,5.38
pentola,apparecchio,2.77
lino,tessuto,6.15
ragazza,bambina,4.77
uccello,gallina,5.46
corpo,spina,2.38
testa,unghia,0.92
corpo,nervo,1.92
uomo,marito,3.54
osso,collo,2.15
fiume,mare,3.31
compito,lavoro,7.0
riflesso,immagine,4.77
neve,tempo,4.38
persone,festa,2.31
ragazzo,fratello,3.62
radice,erba,2.69
sopracciglio,occhio,2.23
soldi,perla,1.62
soldi,diamante,2.31
casa,stalla,3.31
dito,palmo,1.46
sforzo,difficoltà,3.54
parola,giornale,3.23
compositore,scrittore,3.0
attore,cantante,2.77
riparo,capanna,4.85
bagno,cucina,2.23
porta,cucina,1.23
valore,credo,4.0
saggezza,intelligenza,6.92
ignoranza,intelligenza,1.08
felicità,fortuna,3.23
umore,emozione,4.23
felicità,pace,3.92
disperazione,miseria,5.31
logica,aritmetica,2.46
discussione,critica,4.31
aggressione,ostilità,3.69
chimica,teoria,2.92
comodità,sicurezza,4.77
visione,percezione,3.38
conversazione,discussione,6.38
codice,simbolo,3.46
pericolo,malattia,3.08
viaggio,gita,6.15
attività,movimento,5.15
padre,dio,1.31
azione,corso,1.23
febbre,malattia,5.08
gioco,azione,2.77
casa,stato,2.15
parola,letteratura,3.77
giornale,informazione,3.08
cugino,zio,2.46
autore,lettore,1.69
area,angolo,3.38
muro,decorazione,1.46
parola,pagina,1.62
politico,presidente,5.92
libro,saggio,2.69
uomo,guerriero,3.15
articolo,rivista,4.85
colazione,cena,3.23
folla,parata,2.85
fianco,labbro,2.08
libro,articolo,3.31
stanza,cella,3.15
fegato,polmone,2.38
montagna,cornice,2.0
vestiti,bottone,2.23
vestiti,cappotto,4.92
studente,professore,2.0
latte,succo,1.85
cavallo,bue,1.08
gola,naso,1.85
osso,denti,3.38
osso,gomito,2.15
prova,fatto,4.85
parola,indizio,1.46
autore,creatore,6.46
atomo,carbone,2.69
arcivescovo,vescovo,5.15
lettera,paragrafo,2.08
pagina,paragrafo,1.85
campanile,cappella,4.77
muscolo,osso,2.15
muscolo,lingua,2.54
ragazzo,soldato,1.0
tipo,ragazza,1.69
letto,sedia,1.46
pistola,coltello,1.85
latta,metallo,3.62
carne,pane,1.23
braccio,osso,2.38
collo,spina,2.54
agonia,dolore,4.92
notte,alba,1.0
cena,zuppa,1.69
vitello,toro,4.0
neve,tempesta,2.0
unghia,mano,2.92
cane,cavallo,1.0
braccio,collo,1.23
palla,guanto,1.77
influenza,febbre,4.08
rata,salario,2.92
nervo,cervello,2.85
bestia,animale,5.31
cena,pollo,1.46
ragazza,governante,2.46
bambino,ragazzo,5.0
naso,bocca,2.08
campanello,porta,1.62
scatola,cappello,1.08
credo,impressione,3.38
pregiudizio,opinione,3.85
rabbia,umore,3.69
eleganza,stile,4.23
bellezza,età,2.54
libro,tema,1.62
amica,madre,1.92
patto,condizione,3.0
capitolo,scelta,1.38
aritmetica,ritmo,1.69
vincitore,presenza,1.92
credo,fiore,1.15
scelta,vena,1.38
inno,conquista,1.23
prigione,scelta,1.31
condizione,ragazzo,0.85
fiore,resistenza,1.08
buco,accordo,1.23
dottore,temperamento,1.38
confraternita,porta,1.46
compito,donna,1.08
presenza,porta,1.62
liquore,secolo,0.92
compito,paglia,0.85
isola,compito,0.85
notte,capitolo,1.23
capitolo,coda,1.38
corso,stomaco,1.0
inno,paglia,1.08
moglie,paglia,1.08
buco,moglie,1.08
alunno,presidente,1.31
bagno,moglie,1.08
donna,pelliccia,0.08
pistola,alba,0.0
pasto,vita,0.62
liquore,banda,0.0
stomaco,vena,0.77
pistola,pelliccia,0.15
ponte,topo,0.08
riso,ragazzo,0.0
gente,pistola,0.08
principessa,isola,0.0
stomaco,camera,0.0
ceppo,bagno,0.08
andare,venire,1.15
prendere,rubare,5.0
ascoltare,sentire,8.31
accadere,succedere,9.0
svanire,scomparire,9.77
moltiplicare,dividere,1.85
proteggere,difendere,9.0
uccidere,distruggere,7.38
accettare,rifiutare,0.0
ignorare,evitare,7.92
trasportare,portare,4.77
partire,entrare,0.62
scegliere,eleggere,8.15
perdere,fallire,7.85
raggiungere,compiere,8.38
ascoltare,ubbidire,4.62
informare,notificare,9.15
ricevere,dare,1.54
prendere,ottenere,4.0
consigliare,raccomandare,5.15
imitare,ritrarre,3.31
vincere,riuscire,6.77
pensare,decidere,2.77
salutare,incontrare,5.46
convenire,litigare,0.92
divertirsi,intrattenere,4.85
salvare,proteggere,6.38
dare,prestare,3.08
capire,sapere,5.69
prendere,ricevere,3.54
accettare,riconoscere,4.08
decidere,scegliere,4.0
accettare,credere,4.23
tenere,possedere,4.08
riuscire,fallire,1.0
spendere,risparmiare,1.23
partire,andare,4.08
venire,frequentare,4.54
sapere,credere,4.38
dimenticare,ignorare,4.31
restringersi,crescere,0.85
arrivare,partire,1.23
riuscire,provare,2.38
accettare,negare,1.08
arrivare,venire,4.31
inviare,ricevere,0.85
vincere,dominare,5.31
partecipare,unirsi,5.92
partire,rimanere,1.77
andare,entrare,2.31
prendere,trasportare,2.92
dimenticare,apprendere,1.0
nominare,eleggere,4.0
impegnarsi,sposare,4.38
domandare,pregare,2.69
andare,inviare,2.31
prendere,consegnare,2.38
parlare,sentire,0.38
perdere,tenere,0.23
andare,consentire,0.92
prendere,possedere,4.85
imparare,ascoltare,2.31
distruggere,costruire,0.0
creare,fabbricare,6.54
rubare,comprare,0.0
dimenticare,sapere,0.0
creare,immaginare,4.85
vincere,compiere,6.23
dare,negare,0.08
meritare,guadagnare,4.54
ottenere,mettere,0.54
sapere,comprendere,6.92
fingere,immaginare,6.69
curare,tenere,3.46
cooperare,partecipare,5.38
raggiungere,provare,1.85
dire,partecipare,1.62
venire,portare,1.62
leggere,comprendere,5.0
prendere,abbandonare,0.0
concludere,decidere,6.15
argomentare,dimostrare,4.08
trovare,scomparire,0.08
verificare,giustificare,3.08
imparare,valutare,3.31
argomentare,giustificare,4.23
raggiungere,riuscire,7.69
dare,mettere,3.77
capire,ascoltare,4.38
tenere,proteggere,3.31
spiegare,dimostrare,4.46
supporre,fingere,2.38
convenire,compiacere,1.15
perdonare,dimenticare,3.69
capire,perdonare,2.23
rammentare,dimenticare,0.62
diventare,rimanere,2.0
accorgersi,scoprire,3.15
ignorare,chiedere,1.54
pensare,indagare,2.08
rifiutare,evitare,5.92
convincere,persuadere,4.08
accettare,perdonare,3.31
investigare,esaminare,6.77
discutere,spiegare,5.23
dovere,prestare,1.0
esplorare,scoprire,6.38
lamentarsi,litigare,4.15
ritirare,rifiutare,5.23
implorare,chiedere,2.77
ridurre,restringersi,5.15
parlare,riconoscere,2.62
uccidere,difendere,0.69
scomparire,restringersi,3.31
consegnare,trasportare,1.46
riconoscere,notificare,4.0
diventare,sembrare,3.31
fingere,sembrare,3.77
compiere,diventare,4.77
contemplare,pensare,4.85
compiacere,intrattenere,1.92
rimanere,conservare,4.77
fingere,ritrarre,2.15
dimenticare,conservare,1.08
volere,scegliere,3.62
perdere,ottenere,0.92
provare,pensare,2.23
diventare,apparire,3.46
abbandonare,ignorare,4.46
accettare,raccomandare,2.15
tenere,dare,1.38
dare,consentire,3.54
portare,inviare,1.08
partire,apparire,0.77
creare,distruggere,0.62
cominciare,andare,5.46
ottenere,comprare,4.85
riscuotere,risparmiare,4.38
unirsi,aggiungere,6.38
unirsi,sposare,5.69
accettare,consegnare,1.0
andare,vendere,2.08
comunicare,pregare,2.38
dare,rubare,1.31
aggiungere,costruire,2.85
comprendere,soddisfare,2.31
ritrarre,decidere,1.92
dare,sapere,0.77
dire,verificare,2.69
cooperare,unirsi,4.23
ignorare,esplorare,0.69
portare,lamentarsi,1.15
entrare,dovere,1.0
ritrarre,notificare,1.62
rammentare,vendere,0.69
inviare,frequentare,2.08
